iform	iclass	record_count	category	extension	isa_set	cpl	mode_16	mode_32	mode_64	vendor_scope	source_revision	source_reference
AAA	AAA	1	DECIMAL	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AADD_MEM32_GPR32	AADD	1	LEGACY	RAO	RAO_INT	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AADD_MEM64_GPR64	AADD	1	LEGACY	RAO	RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AADD_MEMi32_GPR32i32_APX	AADD	1	APX	RAO	APX_F_RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AADD_MEMi64_GPR64i64_APX	AADD	1	APX	RAO	APX_F_RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAD_IMMb	AAD	1	DECIMAL	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAM_IMMb	AAM	1	DECIMAL	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAND_MEM32_GPR32	AAND	1	LEGACY	RAO	RAO_INT	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAND_MEM64_GPR64	AAND	1	LEGACY	RAO	RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAND_MEMi32_GPR32i32_APX	AAND	1	APX	RAO	APX_F_RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAND_MEMi64_GPR64i64_APX	AAND	1	APX	RAO	APX_F_RAO_INT	3	false	false	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
AAS	AAS	1	DECIMAL	BASE	I86	3	true	true	false	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
ADCX_GPR32d_GPR32d	ADCX	1	ADOX_ADCX	ADOX_ADCX	ADOX_ADCX	3	true	true	true	unspecified	v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
