record_index	iclass	iform	disasm_intel	category	extension	isa_set	cpl	mode_16	mode_32	mode_64	mode_restriction	eosz_list	easz_list	operands	parsed_operands	explicit_operands	implicit_operands	flags_read	flags_written	flags_undefined	flags_raw	encoding_space	encoding_pattern	attributes	undocumented	vendor_scope	vendor_evidence	source_revision	source_reference
0	FADD	FADD_MEMmem32real	FADD	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:SUPP:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""f80""},{""bits"":""1"",""cvt"":[],""element_type"":""SINGLE"",""element_width"":{""fixed"":32,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""MEM0"",""oc2"":""mem32real"",""op_widths"":{""fixed"":32,""scalable"":null},""rw"":""r"",""type"":""imm_const"",""visibility"":""DEFAULT"",""xtype"":""f32""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	MEM	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
1	FADD	FADD_ST0_X87	FADD	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":null,""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":""X87"",""lookupfn_name_base"":""X87"",""multireg"":0,""name"":""REG1"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""nt_lookup_fn"",""visibility"":""DEFAULT"",""xtype"":""f80""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	X87	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b000] RM[nnn]	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
2	FADD	FADD_MEMm64real	FADD	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:SUPP:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""f80""},{""bits"":""1"",""cvt"":[],""element_type"":""DOUBLE"",""element_width"":{""fixed"":64,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""MEM0"",""oc2"":""m64real"",""op_widths"":{""fixed"":64,""scalable"":null},""rw"":""r"",""type"":""imm_const"",""visibility"":""DEFAULT"",""xtype"":""f64""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	MEM	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b000] RM[nnn] MODRM()	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
3	FADD	FADD_X87_ST0	FADD	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	"[{""bits"":null,""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":""X87"",""lookupfn_name_base"":""X87"",""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""nt_lookup_fn"",""visibility"":""DEFAULT"",""xtype"":""f80""},{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	X87	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b000] RM[nnn]	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
4	FMUL	FMUL_ST0_MEMmem32real	FMUL	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":""1"",""cvt"":[],""element_type"":""SINGLE"",""element_width"":{""fixed"":32,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""MEM0"",""oc2"":""mem32real"",""op_widths"":{""fixed"":32,""scalable"":null},""rw"":""r"",""type"":""imm_const"",""visibility"":""DEFAULT"",""xtype"":""f32""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	MEM	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
5	FMUL	FMUL_ST0_X87	FMUL	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":null,""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":""X87"",""lookupfn_name_base"":""X87"",""multireg"":0,""name"":""REG1"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""nt_lookup_fn"",""visibility"":""DEFAULT"",""xtype"":""f80""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	X87	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b001] RM[nnn]	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
6	FMUL	FMUL_ST0_MEMm64real	FMUL	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:rw:IMPL:f80 MEM0:r:m64real REG1=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":""1"",""cvt"":[],""element_type"":""DOUBLE"",""element_width"":{""fixed"":64,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""MEM0"",""oc2"":""m64real"",""op_widths"":{""fixed"":64,""scalable"":null},""rw"":""r"",""type"":""imm_const"",""visibility"":""DEFAULT"",""xtype"":""f64""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	MEM	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[mm] MOD!=3 REG[0b001] RM[nnn] MODRM()	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
7	FMUL	FMUL_X87_ST0	FMUL	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=X87():rw:f80 REG1=XED_REG_ST0:r:IMPL:f80 REG2=XED_REG_X87STATUS:w:SUPP	"[{""bits"":null,""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":""X87"",""lookupfn_name_base"":""X87"",""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""rw"",""type"":""nt_lookup_fn"",""visibility"":""DEFAULT"",""xtype"":""f80""},{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	X87	ST0 X87STATUS		fc0 fc1 fc2 fc3	fc0 fc2 fc3	MUST [ fc0-u   fc1-mod fc2-u   fc3-u   ]	legacy	0xDC MOD[0b11] MOD=3 REG[0b001] RM[nnn]	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
8	FCOMP	FCOMP_ST0_MEMmem32real	FCOMP	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 MEM0:r:mem32real REG1=XED_REG_X87POP:r:SUPP REG2=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":""1"",""cvt"":[],""element_type"":""SINGLE"",""element_width"":{""fixed"":32,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""MEM0"",""oc2"":""mem32real"",""op_widths"":{""fixed"":32,""scalable"":null},""rw"":""r"",""type"":""imm_const"",""visibility"":""DEFAULT"",""xtype"":""f32""},{""bits"":""XED_REG_X87POP"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG1"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	MEM	ST0 X87POP X87STATUS		fc0 fc1 fc2 fc3		MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[mm] MOD!=3 REG[0b011] RM[nnn] MODRM()	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
9	FCOMP	FCOMP_ST0_X87	FCOMP	X87_ALU	X87	X87	3	true	true	true	16 32 64	16 32 64	16 32 64	REG0=XED_REG_ST0:r:IMPL:f80 REG1=X87():r:f80 REG2=XED_REG_X87POP:r:SUPP REG3=XED_REG_X87STATUS:w:SUPP	"[{""bits"":""XED_REG_ST0"",""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG0"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""IMPLICIT"",""xtype"":""f80""},{""bits"":null,""cvt"":[],""element_type"":""LONGDOUBLE"",""element_width"":{""fixed"":80,""scalable"":null},""lookupfn_name"":""X87"",""lookupfn_name_base"":""X87"",""multireg"":0,""name"":""REG1"",""oc2"":""f80"",""op_widths"":{""fixed"":80,""scalable"":null},""rw"":""r"",""type"":""nt_lookup_fn"",""visibility"":""DEFAULT"",""xtype"":""f80""},{""bits"":""XED_REG_X87POP"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG2"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""r"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""},{""bits"":""XED_REG_X87STATUS"",""cvt"":[],""element_type"":null,""element_width"":null,""lookupfn_name"":null,""lookupfn_name_base"":null,""multireg"":0,""name"":""REG3"",""oc2"":null,""op_widths"":{""fixed"":0,""scalable"":null},""rw"":""w"",""type"":""reg"",""visibility"":""SUPPRESSED"",""xtype"":""INVALID""}]"	X87	ST0 X87POP X87STATUS		fc0 fc1 fc2 fc3		MUST [ fc0-mod fc1-mod fc2-mod fc3-mod ]	legacy	0xD8 MOD[0b11] MOD=3 REG[0b011] RM[nnn]	NOTSX	false	unspecified		v2026.08.23	intelxed/xed@0bcb6237345c5066726dcc08b3d87928df3b5b26
